	GO:0000785	GO:0005654	GO:0005667	GO:0005694	GO:0005737	GO:0005829	GO:0005856	GO:0005925	GO:0015629	GO:0016234	GO:0016235	GO:0016528	GO:0016529	GO:0030016	GO:0030017	GO:0030018	GO:0030054	GO:0030055	GO:0031143	GO:0031674	GO:0031974	GO:0031981	GO:0033017	GO:0042383	GO:0042995	GO:0043034	GO:0043228	GO:0043232	GO:0043233	GO:0043292	GO:0048471	GO:0070013	GO:0070161	GO:0099080	GO:0099081	GO:0099512
GO:0016235	0.03743652710010097	0.03884615726252303	-0	0.03993296512157418	0.051196217902832526	0.04552358212425365	0.040637949554534106	2.1774076334901052E-05	0.036557142982252606	0.02854300004382527	1	0.030894419556687685	0.030648746107714207	0.033207605719805654	0.03296574200173781	0.03199884215184772	2.6213588193081133E-05	2.1859829677630725E-05	1.8169805786085725E-05	0.03208861216041741	2.7916499313040236E-05	0.04073385743458912	0.02955743325041686	2.143662419015697E-05	2.6754869318275315E-05	0.027568993315246842	3.017284136255141E-05	0.04487911566811968	2.7916495251813082E-05	0.03332138681164906	0.03359227930312232	0.041615141462106826	2.4337751310610846E-05	2.611343287720105E-05	2.5439084598252328E-05	2.5436678712591817E-05
GO:0016528	0.04268718233011414	0.04452968744613108	-0	0.04596364827140356	0.06154963816063521	0.1063158001004699	0.04690014190852964	2.437344496118745E-05	0.04154757818606547	0.03149684076214695	0.030894419556687685	1	0.06768716248259009	0.07403046132925442	0.07342577310218817	0.07101913652489591	3.007497146812545E-05	2.4480945252953767E-05	1.9944774176388897E-05	0.07124185636577382	3.2338184358403145E-05	0.04702793194773591	0.0650177817365774	2.3951395073778767E-05	3.078963789745295E-05	0.060208122496387746	3.5405157195981E-05	0.05264145523276359	3.233817890877811E-05	0.07431530094126294	0.07499441672368212	0.04820654395915759	2.763154878402168E-05	2.994321038682281E-05	2.905990405482623E-05	2.905676459788678E-05
GO:0016529	0.11172172687076921	0.14814555188635894	-0	0.1201958979795772	0.060582171930815054	0.10485942587996107	0.12261540639136576	2.414582248344089E-05	0.10877094156995362	0.031241532543193597	0.030648746107714207	0.06768716248259009	1	0.09769142981212593	0.09690105779483299	0.09375418056409111	2.9729156303193353E-05	2.4251319924999638E-05	1.979209593923869E-05	0.09404548757678009	3.193870970769239E-05	0.15635675575673408	0.9434962106210374	2.3731551802368728E-05	3.0427291372412023E-05	0.07959366277103841	0.13334664946731759	0.13742320833908145	0.12193816336482449	0.09806369330084952	0.07426681880427939	0.12598866376091342	2.733936914819864E-05	2.9600401408098243E-05	2.873691298495705E-05	2.873384292451414E-05
GO:0030016	0.37778589925152495	0.1309860146588783	-0	0.41013551604502074	0.07146773923960233	0.12090904262746112	0.41948004046200904	2.654833848282288E-05	0.36665782884502574	0.033904633084785044	0.033207605719805654	0.07403046132925442	0.09769142981212593	1	0.9808662262686008	0.9458975532681247	3.345698864873147E-05	2.667592989871114E-05	2.137787729064681E-05	0.9491249656679075	3.6281734936551904E-05	0.13920635239979937	0.09353173410732185	2.604837979579887E-05	3.43437948196748E-05	0.7913424959199953	0.1534311072381095	0.4710790873546813	0.13851930970959092	0.6896089405470878	0.08197348657128758	0.14312058294348132	3.0460503837533783E-05	3.3294007831620555E-05	0.7413638587693083	0.8098027651001468
GO:0030017	0.3738841847680754	0.12956900560123888	-0	0.40554105208304325	0.07035680976763993	0.11930436555494436	0.4146750573954624	2.631821820500165E-05	0.3629814685868035	0.03365254790995802	0.03296574200173781	0.07342577310218817	0.09690105779483299	0.9808662262686008	1	0.9458488878721336	3.309233935355819E-05	2.6443602066168324E-05	2.1228411044152434E-05	0.949048545092065	3.5853306469630276E-05	0.13760699276912994	0.09280698742864955	2.5826808995506286E-05	3.3959669621249974E-05	0.7924049092780044	0.15142684292975978	0.46494329867245093	0.1368836215454581	0.6834383214630478	0.08123272751042565	0.14143056258083617	3.0157951866544623E-05	3.293288338127311E-05	0.7335827628673098	0.8013043652899081
GO:0030018	0.35852245329675286	0.1240036093417634	-0	0.38753048409715074	0.06609440020138983	0.11307818430297875	0.39586286583034835	2.540464218020522E-05	0.3484852230841184	0.03264555507170564	0.03199884215184772	0.07101913652489591	0.09375418056409111	0.9458975532681247	0.9458488878721336	1	3.166073317192902E-05	2.5521452986469405E-05	2.063001038543345E-05	0.933209150469848	3.41788943781716E-05	0.13134634685316102	0.08991643794065925	2.4946460133186325E-05	3.2453744436131956E-05	0.7696145077002008	0.1436422171291735	0.4411072203626137	0.13049091825575457	0.6589753563400651	0.07829734521867035	0.13482551433149315	2.896439944046993E-05	3.15147447794341E-05	0.7029728578216564	0.7678724647775957
GO:0030054	4.0293017558513395E-05	4.278395635499954E-05	-0	4.478510062201434E-05	7.084074539631713E-05	5.6355634787936766E-05	4.6122792481446015E-05	3.233637686679513E-05	3.879569654865104E-05	2.6863467200360623E-05	2.6213588193081133E-05	3.007497146812545E-05	2.9729156303193353E-05	3.345698864873147E-05	3.309233935355819E-05	3.166073317192902E-05	1	3.252586620200161E-05	2.497807395996527E-05	3.1791915242875345E-05	4.80310598807107E-05	4.630726106300489E-05	2.8222419405955707E-05	3.159768605883851E-05	4.469248802038893E-05	2.5594804789604102E-05	5.5123332206363086E-05	5.490075856992163E-05	4.803104785862941E-05	3.36294560068354E-05	3.4042471271788125E-05	4.803099576276483E-05	3.8333003029627215E-05	4.293095063407844E-05	4.113814180605394E-05	4.113185056943254E-05
GO:0030055	3.084891362014965E-05	3.228816120222136E-05	-0	3.341496479459934E-05	4.605318134698581E-05	3.9459700242756015E-05	3.41540424250208E-05	0.7483417284889733	2.9963524179821355E-05	2.230990845243527E-05	2.1859829677630725E-05	2.4480945252953767E-05	2.4251319924999638E-05	2.667592989871114E-05	2.6443602066168324E-05	2.5521452986469405E-05	3.252586620200161E-05	1	2.099386245426903E-05	2.5606624536834237E-05	3.518931422438779E-05	3.425508977860703E-05	2.3239233101644516E-05	2.5480470170952725E-05	3.336338102679534E-05	2.1427828141485312E-05	3.8851555795242794E-05	3.874085835791692E-05	3.5189307771457765E-05	2.6785456304542093E-05	2.7046817070648863E-05	3.518927980865494E-05	0.6742170646502557	3.2371809918268186E-05	3.134187275162104E-05	3.13382209062482E-05
GO:0031143	2.3977133498194115E-05	2.4837651811199175E-05	-0	2.5499105405858044E-05	3.2253510088119907E-05	2.887447689763242E-05	2.592724786583984E-05	2.0914756403905545E-05	2.3438820839707428E-05	1.84796823688907E-05	1.8169805786085725E-05	1.9944774176388897E-05	1.979209593923869E-05	2.137787729064681E-05	2.1228411044152434E-05	2.063001038543345E-05	2.497807395996527E-05	2.099386245426903E-05	1	2.068562705259563E-05	2.651952313287851E-05	2.598543730477481E-05	1.9112773291742566E-05	2.0603223416363598E-05	2.54690557304249E-05	1.7870342541817942E-05	2.854749278903041E-05	2.848768124873744E-05	2.6519519467939182E-05	2.144816103026101E-05	2.1615415926369893E-05	2.651950358647137E-05	2.3269132123443015E-05	2.4887120930360622E-05	2.4273877891777295E-05	2.4271687346512784E-05
GO:0031674	0.3599329966261833	0.12451373117119115	-0	0.3891790401689889	0.06647854258244426	0.11364386729749586	0.39758323335369244	2.5489034571273483E-05	0.34981774577745767	0.03273899564144441	0.03208861216041741	0.07124185636577382	0.09404548757678009	0.9491249656679075	0.949048545092065	0.933209150469848	3.1791915242875345E-05	2.5606624536834237E-05	2.068562705259563E-05	1	3.433182403397377E-05	0.1319188093705909	0.09018435021384438	2.5027831004335595E-05	3.2591594586588746E-05	0.7717315658139262	0.1443500217967477	0.4432747723450066	0.13107478523000668	0.6612328465906475	0.07856814094530905	0.13542877550190358	2.907415041472876E-05	3.164471738907609E-05	0.705781814383388	0.7709403990884737
GO:0031974	4.446192874184514E-05	4.7514507303156046E-05	-0	4.9995473327199394E-05	8.482392893929332E-05	6.486173418938937E-05	5.166834318577148E-05	3.4967626573124954E-05	4.264572176722831E-05	2.8654745973164046E-05	2.7916499313040236E-05	3.2338184358403145E-05	3.193870970769239E-05	3.6281734936551904E-05	3.5853306469630276E-05	3.41788943781716E-05	4.80310598807107E-05	3.518931422438779E-05	2.651952313287851E-05	3.433182403397377E-05	1	5.189994885491788E-05	3.0206206106123923E-05	3.410543106504586E-05	4.988008553293357E-05	2.7215783117035628E-05	6.323472962416404E-05	6.29420070828406E-05	5.407503328190517E-05	3.6484642558770296E-05	3.697127346451353E-05	5.407496725017779E-05	4.208729845792383E-05	4.7695873364050076E-05	4.549321936188326E-05	4.548552570189716E-05
GO:0031981	0.16954675134478794	0.8120018111929149	-0	0.18986070747448294	0.11864723627139961	0.09206161524741212	0.1959689287518166	3.404498169655328E-05	0.16284258852093014	0.04178765391609413	0.04073385743458912	0.04702793194773591	0.15635675575673408	0.13920635239979937	0.13760699276912994	0.13134634685316102	4.630726106300489E-05	3.425508977860703E-05	2.598543730477481E-05	0.1319188093705909	5.189994885491788E-05	1	0.1480692557296671	3.32271530951106E-05	4.802357675835518E-05	0.1051405077975636	0.23014366951665569	0.23673911666315786	0.9196053963619928	0.13996346324162554	0.053577938527402204	0.9196049087158618	4.07578318406842E-05	4.599562394913515E-05	4.394383233960129E-05	4.393665376849684E-05
GO:0033017	0.10631448034763209	0.14068487838698834	-0	0.11396014709591279	0.05646150836112907	0.09858885114413131	0.11613285096084956	2.3142339834055254E-05	0.10363899427789407	0.03010837702373965	0.02955743325041686	0.0650177817365774	0.9434962106210374	0.09353173410732185	0.09280698742864955	0.08991643794065925	2.8222419405955707E-05	2.3239233101644516E-05	1.9112773291742566E-05	0.09018435021384438	3.0206206106123923E-05	0.1480692557296671	1	0.0462677979243979	2.8850833893170346E-05	0.07681045927058727	0.12547650397948867	0.1293320209944406	0.11532367342839446	0.09387291525280565	0.07106552272112641	0.11915446061140919	2.6059922428071466E-05	2.810635944981742E-05	2.7326690148909256E-05	2.7323913998182284E-05
